ticker,name,total_ret,win_rate,hit_rate,sharpe,mdd,trades
4170,신세계,595.72,67.0,64.4,2.77,-17.51,112
204320,HL만도,593.38,59.8,64.9,2.23,-16.54,107
192820,코스맥스,581.21,63.3,62.1,1.82,-43.2,120
35420,NAVER,576.06,66.7,64.0,2.49,-24.11,105
3540,대신증권,572.2,70.6,66.4,1.94,-18.09,126
10950,S-Oil,570.05,58.9,65.7,2.68,-13.7,112
810,삼성화재,562.04,61.5,62.5,2.7,-17.2,109
251270,넷마블,560.18,64.9,66.5,2.48,-28.44,111
3550,LG,550.88,68.7,69.7,3.21,-13.33,115
36460,한국가스공사,535.06,60.5,68.3,2.01,-27.97,114
23530,롯데쇼핑,519.48,62.9,63.0,2.24,-20.49,116
361610,SK아이이테크놀로지,518.21,62.7,68.4,1.96,-33.94,110
352820,하이브,502.89,55.2,62.1,2.11,-24.2,116
383220,F&F,502.06,64.1,65.0,2.22,-26.0,117
18670,SK가스,471.39,63.9,63.7,2.69,-21.06,122
15760,한국전력,463.86,65.5,62.4,2.3,-25.0,113
18260,삼성에스디에스,454.82,65.7,66.3,2.22,-24.17,108
66570,LG전자,448.81,63.1,68.3,2.43,-12.93,111
2790,아모레퍼시픽홀딩스,437.33,59.6,64.5,2.02,-28.37,114
259960,크래프톤,431.06,61.9,62.3,2.1,-36.24,113
4990,롯데지주,425.61,65.2,65.8,2.02,-25.51,115
139130,iM금융지주,421.07,66.4,67.9,2.69,-18.2,119
51900,LG생활건강,418.49,67.3,66.7,2.67,-35.0,110
24110,기업은행,410.63,72.1,69.9,3.34,-14.34,111
302440,SK바이오사이언스,410.34,59.5,63.4,1.92,-31.37,111
51600,한전KPS,404.58,60.6,62.6,2.21,-23.69,109
489790,한화비전,399.66,64.7,59.5,2.92,-41.21,51
62040,산일전기,396.95,64.8,66.5,2.9,-17.86,54
161890,한국콜마,396.21,63.4,61.8,2.26,-41.76,112
120,CJ대한통운,385.08,60.5,59.1,1.81,-17.75,114
90430,아모레퍼시픽,377.18,60.6,61.9,1.78,-38.88,109
1720,신영증권,367.42,63.2,59.5,1.77,-25.79,114
69960,현대백화점,364.86,64.1,64.6,2.12,-21.86,117
161390,한국타이어앤테크놀로지,360.79,66.4,65.2,1.87,-31.57,107
3490,대한항공,356.4,66.7,66.0,3.11,-18.27,108
270,기아,343.4,63.6,65.6,2.29,-15.6,107
26960,동서,299.47,65.8,66.6,2.49,-18.95,114
207940,삼성바이오로직스,282.58,62.0,65.9,2.56,-23.55,100
29780,삼성카드,280.15,67.5,67.7,2.63,-12.16,114
100,유한양행,273.42,54.6,59.8,1.7,-19.09,108
139480,이마트,259.55,57.8,59.9,1.75,-25.84,109
30200,KT,256.12,64.5,61.1,2.65,-16.64,110
3690,코리안리,248.33,62.7,61.7,2.33,-11.09,118
1450,현대해상,237.15,57.1,62.2,1.79,-17.71,112
35250,강원랜드,231.4,69.6,68.1,2.82,-18.04,112
8770,호텔신라,222.62,59.3,62.6,1.81,-24.51,113
81660,미스토홀딩스,221.51,64.0,61.5,2.22,-25.63,111
21240,코웨이,221.03,66.1,63.6,2.03,-32.72,109
7070,GS리테일,215.31,60.0,64.1,2.03,-14.02,110
32640,LG유플러스,206.86,71.4,65.5,2.93,-13.27,112
18880,한온시스템,188.76,67.9,68.0,1.45,-32.77,106
12750,에스원,176.89,62.7,64.5,2.31,-14.68,102
97950,CJ제일제당,158.76,60.2,62.6,1.83,-27.93,108
33780,KT&G,137.74,54.4,53.5,1.83,-13.37,103
271560,오리온,135.78,57.7,56.1,1.69,-17.76,104
443060,HD현대마린솔루션,129.47,51.5,55.7,1.48,-31.33,68
395400,SK리츠,126.95,59.5,63.6,2.25,-12.54,111
4370,농심,101.47,61.2,58.2,1.42,-24.22,103
17670,SK텔레콤,96.3,57.4,57.7,1.6,-13.01,108
30000,제일기획,90.82,62.0,60.9,1.77,-12.79,108
31210,서울보증보험,89.9,55.3,57.3,1.85,-17.41,47
88980,맥쿼리인프라,53.76,64.0,60.5,1.88,-8.04,111
282330,BGF리테일,49.61,50.0,53.8,0.77,-20.77,110
64400,LG씨엔에스,46.0,47.7,55.8,0.95,-26.52,44
0126Z0,삼성에피스홀딩스,25.4,38.5,43.7,1.49,-23.09,13
483650,달바글로벌,9.95,55.6,57.6,0.53,-49.3,36
439260,대한조선,0.87,48.1,54.8,0.33,-35.07,27
462870,시프트업,-25.26,48.3,55.0,-0.47,-50.82,60
